Jour,Date,Heure,KwH Restant,Achat KwH
Mercredi,03-06-2020,18:30,500,0
Mercredi,03-06-2020,18:50,470,0
Jeudi,04-06-2020,8:00,420,0
Jeudi,04-06-2020,17:00,365,0
Vendredi,05-06-2020,8:00,310,0
Vendredi,05-06-2020,17:30,237,0
Samedi,06-06-2020,8:00,190.5,0
Samedi,06-06-2020,13:00,190.5,0
Lundi,08-06-2020,8:00,70.34,0
Lundi,08-06-2020,15:30,5,501
Mardi,09-06-2020,8:00,462.26,0
Mardi,09-06-2020,16:00,375.94,0
Mercredi,10-06-2020,8:00,308.5,0
Mercredi,10-06-2020,17:30,212.74,0
Jeudi,11-06-2020,8:30,155.46,0
Jeudi,11-06-2020,16:35,78.81,501
Vendredi,12-06-2020,8:00,507.69,0
Vendredi,12-06-2020,16:20,412.43,0
Samedi,13-06-2020,8:00,355.92,0
Samedi,13-06-2020,13:30,327.08,0
Lundi,15-06-2020,8:00,283.44,0
Lundi,15-06-2020,19:50,210.68,0
Mardi,16-06-2020,8:45,147.87,0
Mardi,16-06-2020,17:00,78.27,0
Mercredi,17-06-2020,8:00,32.51,0
Mercredi,17-06-2020,9:30,0,600
Mercredi,17-06-2020,16:30,546.49,0
Jeudi,18-06-2020,8:00,484.64,0
Jeudi,18-06-2020,16:00,385.13,0
Vendredi,19-06-2020,8:00,325.72,0
Vendredi,19-06-2020,17:15,236.1,0
Samedi,20-06-2020,8:00,182.71,0
Samedi,20-06-2020,14:00,182.65,0
Lundi,22-06-2020,9:00,47.08,0
Lundi,22-06-2020,12:00,30.49,600
Lundi,22-06-2020,18:00,568.38,0
Mardi,23-06-2020,9:00,455.06,0
Mardi,23-06-2020,17:30,370.21,0
Mercredi,24-06-2020,8:00,302.29,0
Mercredi,24-06-2020,17:00,206.3,0
Jeudi,25-06-2020,9:00,132.69,0
Jeudi,25-06-2020,18:00,45.15,0
Vendredi,26-06-2020,8:00,0.5,0
Vendredi,26-06-2020,13:30,0,600
